rps,aws_ok_rps,aws_p95_ms,aws_err_rate,gcp_ok_rps,gcp_p95_ms,gcp_err_rate
1,0.5,46136.949,0.0,0.5,46790.429,0.0
10,0.6,60887.955,14.286,0.5,49508.643,16.667
50,1.6,66613.583,0.0,1.5,60001.553,0.0
100,1.6,66393.59,0.0,1.5,58918.139,0.0
200,1.5,63339.291,0.0,1.6,59620.893,0.0
300,1.6,66587.167,0.0,1.6,60201.712,0.0
400,1.6,67218.7,0.0,1.6,59332.511,0.0
500,0.9,67860.929,0.0,1.5,60536.354,0.0
600,1.3,60732.029,0.0,1.6,62136.173,0.0
700,1.5,66583.122,0.0,1.8,69609.392,0.0
800,0.0,,0.0,1.7,69641.514,0.0
900,0.0,,100.0,1.6,61579.748,0.0
1000,0.0,,100.0,1.7,63895.715,0.0
